seed,best_model,best_val_auc,best_sensitivity,best_specificity,best_cv_auc,selected_features
117,SVM Linear,0.6299477221807319,0.6538461538461539,0.6407766990291263,0.5213675213675213,"POE25, POE21, POE26..."
112,SVM Linear,0.6299477221807319,0.6538461538461539,0.6407766990291263,0.5952991452991452,"POE25, POE26, POE21..."
95,SVM Linear,0.6299477221807319,0.6538461538461539,0.6407766990291263,0.5636752136752137,"POE25, POE21, POE26..."
185,SVM Linear,0.6299477221807319,0.6538461538461539,0.6407766990291263,0.541880341880342,"POE25, POE26, POE21..."
35,SVM Linear,0.6299477221807319,0.6538461538461539,0.6407766990291263,0.55,"POE25, POE26, POE21..."
167,SVM Linear,0.6299477221807319,0.6538461538461539,0.6407766990291263,0.5525641025641026,"POE25, POE21, POE26..."
131,Random Forest,0.6207991038088125,0.6153846153846154,0.6796116504854369,0.6047008547008547,"POE25, POE26, POE20..."
47,Random Forest,0.6191187453323377,0.5384615384615384,0.7669902912621359,0.5854700854700855,"POE25, POE21, POE26..."
31,Random Forest,0.6174383868558626,0.5769230769230769,0.7184466019417476,0.6055555555555555,"POE25, POE26, POE21..."
54,SVM Linear,0.6172516803584764,0.5,0.7378640776699029,0.5594017094017094,"POE25, POE15.C16, POE17..."
10,Random Forest,0.6170649738610904,0.5384615384615384,0.7572815533980582,0.6521367521367522,"POE25, POE26, POE21..."
94,Random Forest,0.6166915608663183,0.5769230769230769,0.6893203883495146,0.5756410256410257,"POE25, POE26, POE20..."
163,Random Forest,0.6166915608663182,0.5769230769230769,0.7572815533980582,0.5572649572649573,"POE25, POE17, POE26..."
194,Random Forest,0.6157580283793876,0.5384615384615384,0.8058252427184466,0.6277777777777778,"POE25, POE21, POE26..."
119,Random Forest,0.6144510828976847,0.5384615384615384,0.7378640776699029,0.6061965811965812,"POE25, POE26, POE20..."
147,Gradient Boosting,0.6137042569081405,0.34615384615384615,0.8543689320388349,0.4301282051282051,"POE25, POE26, POE20..."
43,Gradient Boosting,0.6137042569081405,0.34615384615384615,0.8543689320388349,0.4632478632478632,"POE25, POE26, POE20..."
86,Gradient Boosting,0.6133308439133682,0.34615384615384615,0.8543689320388349,0.45213675213675214,"POE25, POE20, POE26..."
66,Gradient Boosting,0.6133308439133682,0.34615384615384615,0.8543689320388349,0.6196581196581197,"POE25, POE26, POE20..."
2,Gradient Boosting,0.6133308439133682,0.34615384615384615,0.8543689320388349,0.4057692307692308,"POE25, POE26, POE20..."
132,Gradient Boosting,0.6133308439133682,0.34615384615384615,0.8543689320388349,0.3871794871794872,"POE25, POE26, POE20..."
156,Gradient Boosting,0.6133308439133682,0.34615384615384615,0.8543689320388349,0.5634615384615385,"POE25, POE26, POE20..."
140,Gradient Boosting,0.6133308439133682,0.34615384615384615,0.8543689320388349,0.46688034188034183,"POE25, POE20, POE26..."
23,Random Forest,0.6122106049290515,0.5384615384615384,0.7864077669902912,0.6068376068376069,"POE25, POE26, POE21..."
136,Random Forest,0.6116504854368933,0.46153846153846156,0.7766990291262136,0.6094017094017093,"POE25, POE21, POE26..."
97,Random Forest,0.6107169529499626,0.5384615384615384,0.7572815533980582,0.6153846153846153,"POE25, POE21, POE26..."
